"item","rmse","mae","BIAS","ratio_rmse","ratio_mae","ratio_bias"
"exact_q25","0.120316554014489","0.0944734670101962","-0.0378897501960817","1","1","1"
"exact_q50","0.10373041983912","0.0716","-0.00240000000000004","1","1","1"
"exact_q75","0.138900020774007","0.107265303013334","0.0406897501960815","1","1","1"
"qr_q25","0.148997180003975","0.118248992942744","0.0151102498039182","1.23837639154818","1.25166352717829","-0.398795181433548"
"qr_q50","0.139283882771841","0.11","0.0688","1.34274866512507","1.53631284916201","-28.6666666666662"
"qr_q75","0.184736279349251","0.150183645121571","0.134489750196082","1.3299946128145","1.40011393155625","3.30524885377726"
"qr_cv_q25","0.165129965749502","0.12993467906353","-0.0850897501960818","1.37246256013629","1.37535631088364","2.24571948233327"
"qr_cv_q50","0.118152443901935","0.0876","-0.0224000000000001","1.13903369990388","1.22346368715084","9.33333333333321"
"qr_cv_q75","0.151534163062651","0.118016319032157","0.0510897501960815","1.09095853419057","1.10022827248703","1.25559262344652"
