"item","rmse","mae","BIAS","ratio_rmse","ratio_mae","ratio_bias"
"exact_q25","0.0817771530779181","0.0666857130054903","-0.0266897501960817","1","1","1"
"exact_q50","0.0666333249958307","0.0416","-0.00440000000000002","1","1","1"
"exact_q75","0.0767779288774167","0.0625469429819605","0.0194897501960815","1","1","1"
"qr_q25","0.0901889091848891","0.0725102318807823","0.0385102498039182","1.10286193380878","1.08734282971245","-1.44288535939808"
"qr_q50","0.0920869154657707","0.0668","0.056","1.38199490227349","1.60576923076923","-12.7272727272727"
"qr_q75","0.126385166827752","0.108138743138826","0.0994897501960815","1.64611326035556","1.72892131866484","5.10472167139856"
"qr_cv_q25","0.0960705005518058","0.0792326380643148","-0.0540897501960817","1.17478411678466","1.18815012231768","2.02661133201698"
"qr_cv_q50","0.0726636084983398","0.0476","-0.0164","1.09049951361254","1.14423076923077","3.72727272727271"
"qr_cv_q75","0.0871039296799295","0.070293877002353","0.0270897501960815","1.13449178629185","1.12385791616749","1.38994855878286"
