"item","rmse","mae"
"exact10","0.200143812078398","0.158010976120413"
"exact25","0.116297259943275","0.0939346880250985"
"exact50","0.102761860629321","0.0728"
"exact75","0.133450869868821","0.104673467010196"
"exact90","0.273136735493212","0.196572375730704"
"nonexact10","0.414331626295514","0.247286850876845"
"nonexact25","0.169335289796749","0.115665303013334"
"nonexact50","0.147173367155882","0.1026"
"nonexact75","0.234355708473922","0.159885704043922"
"nonexact90","0.879038720621546","0.551321289229333"
"fullgmm10","0.764271971870038","0.668027440301033"
"fullgmm25","0.292747952404555","0.245779563123139"
"fullgmm50","0.173723918905832","0.1318"
"fullgmm75","0.33116512700636","0.266787727120002"
"fullgmm90","0.901408113032217","0.764575027776676"
"hdm10","0.308605197648161","0.242626114278047"
"hdm25","0.161255745293484","0.129399982076864"
"hdm50","0.119582607431014","0.087"
"hdm75","0.14836026242939","0.116"
"hdm90","0.374743768157347","0.262051657528732"
