"replication","tau","estimator","window","window_left","window_right","any_accepted","all_accepted","left_endpoint_accepted","right_endpoint_accepted","n_accepted_gridpoints","n_accepted_components_grid","min_accepted_alpha","max_accepted_alpha","alpha_hat_grid","min_W","n_alpha_success_full","n_alpha_failure_full","any_accept_left_outer","any_accept_right_outer","all_accept_left_outer","all_accept_right_outer","W_minus40","W_minus30","W_30","W_40","left_tail_label","right_tail_label"
1,0.5,"Oracle-GMM","[-40,40]",-40,40,TRUE,FALSE,FALSE,FALSE,140,38,-34.4,20.4,1.40000000000001,0.124456969868891,401,0,TRUE,FALSE,FALSE,FALSE,6.84558882308887,5.50790231711118,7.25284586629229,6.7773510168804,"tail unresolved within search range","no acceptance near search boundary"
1,0.5,"Full-GMM","[-3,5]",-3,5,TRUE,FALSE,FALSE,TRUE,24,5,-2.2,5,1.6,0.0344669519794047,401,0,TRUE,TRUE,TRUE,FALSE,2.57666134363641,0.722350051592707,4.13235057400482,2.88832640410053,"tail unresolved within search range","tail unresolved within search range"
1,0.5,"Full-GMM","[-5,5]",-5,5,TRUE,FALSE,TRUE,TRUE,26,7,-5,5,1.6,0.0344669519794047,401,0,TRUE,TRUE,TRUE,FALSE,2.57666134363641,0.722350051592707,4.13235057400482,2.88832640410053,"tail unresolved within search range","tail unresolved within search range"
1,0.5,"Full-GMM","[-10,10]",-10,10,TRUE,FALSE,TRUE,TRUE,61,18,-10,10,1.6,0.0344669519794047,401,0,TRUE,TRUE,TRUE,FALSE,2.57666134363641,0.722350051592707,4.13235057400482,2.88832640410053,"tail unresolved within search range","tail unresolved within search range"
1,0.5,"Full-GMM","[-20,20]",-20,20,TRUE,FALSE,TRUE,TRUE,150,28,-20,20,1.6,0.0344669519794047,401,0,TRUE,TRUE,TRUE,FALSE,2.57666134363641,0.722350051592707,4.13235057400482,2.88832640410053,"tail unresolved within search range","tail unresolved within search range"
1,0.5,"Full-GMM","[-40,40]",-40,40,TRUE,FALSE,TRUE,TRUE,343,35,-40,40,1.6,0.0344669519794047,401,0,TRUE,TRUE,TRUE,FALSE,2.57666134363641,0.722350051592707,4.13235057400482,2.88832640410053,"tail unresolved within search range","tail unresolved within search range"
1,0.5,"DML-IVQR","[-3,5]",-3,5,TRUE,FALSE,FALSE,TRUE,24,2,0.200000000000003,5,1.8,0.000830224415282742,401,0,FALSE,TRUE,FALSE,FALSE,9.96892619953134,9.25750202476925,5.89311378071239,6.0268034964473,"no acceptance near search boundary","tail unresolved within search range"
1,0.5,"DML-IVQR","[-5,5]",-5,5,TRUE,FALSE,FALSE,TRUE,24,2,0.200000000000003,5,1.8,0.000830224415282742,401,0,FALSE,TRUE,FALSE,FALSE,9.96892619953134,9.25750202476925,5.89311378071239,6.0268034964473,"no acceptance near search boundary","tail unresolved within search range"
1,0.5,"DML-IVQR","[-10,10]",-10,10,TRUE,FALSE,FALSE,TRUE,48,3,0.200000000000003,10,1.8,0.000830224415282742,401,0,FALSE,TRUE,FALSE,FALSE,9.96892619953134,9.25750202476925,5.89311378071239,6.0268034964473,"no acceptance near search boundary","tail unresolved within search range"
1,0.5,"DML-IVQR","[-20,20]",-20,20,TRUE,FALSE,FALSE,FALSE,51,5,0.200000000000003,18.8,1.8,0.000830224415282742,401,0,FALSE,TRUE,FALSE,FALSE,9.96892619953134,9.25750202476925,5.89311378071239,6.0268034964473,"no acceptance near search boundary","tail unresolved within search range"
1,0.5,"DML-IVQR","[-40,40]",-40,40,TRUE,FALSE,FALSE,FALSE,124,14,0.200000000000003,38.6,1.8,0.000830224415282742,401,0,FALSE,TRUE,FALSE,FALSE,9.96892619953134,9.25750202476925,5.89311378071239,6.0268034964473,"no acceptance near search boundary","tail unresolved within search range"
1,0.9,"Oracle-GMM","[-3,5]",-3,5,TRUE,FALSE,FALSE,TRUE,23,4,-0.599999999999994,5,2.6,0.0321133667896885,401,0,TRUE,TRUE,TRUE,TRUE,0.995937907002786,3.15791144085334,0.869139496318188,1.81242093025364,"tail unresolved within search range","tail unresolved within search range"
1,0.9,"Oracle-GMM","[-5,5]",-5,5,TRUE,FALSE,FALSE,TRUE,23,4,-0.599999999999994,5,2.6,0.0321133667896885,401,0,TRUE,TRUE,TRUE,TRUE,0.995937907002786,3.15791144085334,0.869139496318188,1.81242093025364,"tail unresolved within search range","tail unresolved within search range"
1,0.9,"Oracle-GMM","[-10,10]",-10,10,TRUE,FALSE,TRUE,TRUE,66,11,-10,10,2.6,0.0321133667896885,401,0,TRUE,TRUE,TRUE,TRUE,0.995937907002786,3.15791144085334,0.869139496318188,1.81242093025364,"tail unresolved within search range","tail unresolved within search range"
1,0.9,"Oracle-GMM","[-20,20]",-20,20,TRUE,FALSE,TRUE,TRUE,165,12,-20,20,2.6,0.0321133667896885,401,0,TRUE,TRUE,TRUE,TRUE,0.995937907002786,3.15791144085334,0.869139496318188,1.81242093025364,"tail unresolved within search range","tail unresolved within search range"
1,0.9,"Oracle-GMM","[-40,40]",-40,40,TRUE,FALSE,TRUE,TRUE,365,12,-40,40,2.6,0.0321133667896885,401,0,TRUE,TRUE,TRUE,TRUE,0.995937907002786,3.15791144085334,0.869139496318188,1.81242093025364,"tail unresolved within search range","tail unresolved within search range"
1,0.9,"Full-GMM","[-3,5]",-3,5,TRUE,FALSE,TRUE,TRUE,35,6,-3,5,-20,0.00975274977970514,401,0,TRUE,TRUE,FALSE,FALSE,0.0442051560863511,0.236979809309383,2.09144117825348,4.4414357273274,"tail unresolved within search range","tail unresolved within search range"
1,0.9,"Full-GMM","[-5,5]",-5,5,TRUE,FALSE,TRUE,TRUE,43,8,-5,5,-20,0.00975274977970514,401,0,TRUE,TRUE,FALSE,FALSE,0.0442051560863511,0.236979809309383,2.09144117825348,4.4414357273274,"tail unresolved within search range","tail unresolved within search range"
1,0.9,"Full-GMM","[-10,10]",-10,10,TRUE,FALSE,TRUE,TRUE,83,14,-10,10,-20,0.00975274977970514,401,0,TRUE,TRUE,FALSE,FALSE,0.0442051560863511,0.236979809309383,2.09144117825348,4.4414357273274,"tail unresolved within search range","tail unresolved within search range"
1,0.9,"Full-GMM","[-20,20]",-20,20,TRUE,FALSE,TRUE,TRUE,156,32,-20,20,-20,0.00975274977970514,401,0,TRUE,TRUE,FALSE,FALSE,0.0442051560863511,0.236979809309383,2.09144117825348,4.4414357273274,"tail unresolved within search range","tail unresolved within search range"
1,0.9,"Full-GMM","[-40,40]",-40,40,TRUE,FALSE,TRUE,TRUE,317,58,-40,40,-20,0.00975274977970514,401,0,TRUE,TRUE,FALSE,FALSE,0.0442051560863511,0.236979809309383,2.09144117825348,4.4414357273274,"tail unresolved within search range","tail unresolved within search range"
