"n","kappa","F_mean","F_median","F_sd","F_p10","F_p90","F_min","F_max","partial_R2_mean","partial_R2_median","partial_R2_sd","partial_R2_p10","partial_R2_p90","partial_R2_min","partial_R2_max","n_success","n_failed"
500,1,104.41814760064,101.172772514095,17.2446101209529,85.9334374468717,126.684018163193,70.4876362711778,159.499408655801,0.298467097276861,0.293532810896645,0.0338297464734377,0.260850569923273,0.342218424368253,0.224491757408883,0.395780751112784,100,0
500,0.5,19.5679373058308,18.7070129676655,6.34359870972443,11.9923713591491,27.9467065459065,6.71890891485114,37.937523817111,0.0738551586185396,0.0713421271202085,0.0221453395714252,0.0469382639363675,0.102953503898848,0.0268521229829899,0.134799096092688,100,0
500,0.25,5.15347119444371,4.73631755076948,3.01656238709771,1.74002721806241,8.64895248241352,0.396967598683613,15.5776459808431,0.0205842131464649,0.0190798717319423,0.0117668565271462,0.00709519961887936,0.0343008916284479,0.00162760366638423,0.0601273256203469,100,0
500,0.1,1.63488791922873,1.22115280248226,1.47209001725341,0.242698647385431,3.64551030130779,0.0042379189234618,8.00128177253107,0.00663421877786755,0.00498997637442291,0.00590782201098451,0.000995716566357122,0.0147504613223205,1.74038815902368e-05,0.0318140794994746,100,0
1000,1,211.468515276746,212.817262522506,22.4645805478326,185.342762973857,239.503623361133,152.70082579826,268.407112576701,0.299263416055325,0.301305052764305,0.0223792559742184,0.273027527312124,0.326742749862149,0.236305525622978,0.35228324837259,100,0
1000,0.5,40.318759430712,38.6495995626611,9.27243018700568,30.1301553695089,53.6026793758833,16.9184674120612,63.5668835143812,0.0752535463750068,0.0726291846703851,0.0160183153127192,0.0575409029414893,0.0979755379082161,0.0331462681940991,0.114109966676452,100,0
1000,0.25,10.349385322837,9.8501597856989,4.57196730784379,5.34350437150391,16.154508079835,1.66365845403412,25.9253436965203,0.0204613938067739,0.0195691992480618,0.0088215956513106,0.0107117633306343,0.0316968387802102,0.00335981533707113,0.0499115878944626,100,0
1000,0.1,2.48542981011924,2.03801093077346,2.11689521327011,0.376691006676469,5.42266612904974,0.0183397392836234,11.1060781563531,0.00499327899467477,0.00411272340025733,0.00421638991096484,0.000762721575922126,0.010868740112143,3.71612112597719e-05,0.0220094022587493,100,0
