"replication","n","tau","kappa","estimator","delta","alpha_false","W_false","rejected_false","status"
1,500,0.25,1,"Full-GMM",-0.25,0.0755102498039183,8.17260634642858,TRUE,"OK"
1,500,0.25,1,"Full-GMM",0.25,0.575510249803918,0.095459745183763,FALSE,"OK"
1,500,0.25,1,"Full-GMM",0.5,0.825510249803918,7.53039569504949,TRUE,"OK"
1,500,0.25,1,"DML-IVQR",-0.5,-0.174489750196082,20.4094095839583,TRUE,"OK"
1,500,0.25,1,"DML-IVQR",-0.25,0.0755102498039183,7.75936456106341,TRUE,"OK"
1,500,0.25,1,"DML-IVQR",0.25,0.575510249803918,4.7233208539492,FALSE,"OK"
1,500,0.25,1,"DML-IVQR",0.5,0.825510249803918,11.7707141716272,TRUE,"OK"
1,500,0.25,0.5,"Oracle-GMM",-0.5,-0.174489750196082,9.23538467164256,TRUE,"OK"
1,500,0.25,0.5,"Oracle-GMM",-0.25,0.0755102498039183,4.93416618846074,FALSE,"OK"
1,500,0.25,0.5,"Oracle-GMM",0.25,0.575510249803918,1.01618934310694,FALSE,"OK"
1,500,0.25,0.5,"Oracle-GMM",0.5,0.825510249803918,3.02371686267781,FALSE,"OK"
1,500,0.25,0.5,"Full-GMM",-0.5,-0.174489750196082,8.28661942131735,TRUE,"OK"
1,500,0.25,0.5,"Full-GMM",-0.25,0.0755102498039183,3.38745685493396,FALSE,"OK"
1,500,0.25,0.5,"Full-GMM",0.25,0.575510249803918,1.78358438088907,FALSE,"OK"
1,500,0.25,0.5,"Full-GMM",0.5,0.825510249803918,6.40493421959271,TRUE,"OK"
1,500,0.25,0.5,"DML-IVQR",-0.5,-0.174489750196082,6.92889725260049,TRUE,"OK"
1,500,0.25,0.5,"DML-IVQR",-0.25,0.0755102498039183,5.3322541767131,FALSE,"OK"
1,500,0.25,0.5,"DML-IVQR",0.25,0.575510249803918,3.35468820119537,FALSE,"OK"
1,500,0.25,0.5,"DML-IVQR",0.5,0.825510249803918,6.04725565485222,TRUE,"OK"
1,500,0.25,0.25,"Oracle-GMM",-0.5,-0.174489750196082,2.55697763243094,FALSE,"OK"
1,500,0.25,0.25,"Oracle-GMM",-0.25,0.0755102498039183,3.19398580048402,FALSE,"OK"
1,500,0.25,0.25,"Oracle-GMM",0.25,0.575510249803918,2.03053076088491,FALSE,"OK"
1,500,0.25,0.25,"Oracle-GMM",0.5,0.825510249803918,1.44946900468641,FALSE,"OK"
1,500,0.25,0.25,"Full-GMM",-0.5,-0.174489750196082,3.15937622588441,FALSE,"OK"
1,500,0.25,0.25,"Full-GMM",-0.25,0.0755102498039183,0.773440963886654,FALSE,"OK"
1,500,0.25,0.25,"Full-GMM",0.25,0.575510249803918,2.79089319077914,FALSE,"OK"
1,500,0.25,0.25,"Full-GMM",0.5,0.825510249803918,2.660822246977,FALSE,"OK"
1,500,0.25,0.25,"DML-IVQR",-0.5,-0.174489750196082,3.97829599767832,FALSE,"OK"
1,500,0.25,0.25,"DML-IVQR",-0.25,0.0755102498039183,3.13812400234106,FALSE,"OK"
1,500,0.25,0.25,"DML-IVQR",0.25,0.575510249803918,1.46681387335127,FALSE,"OK"
1,500,0.25,0.25,"DML-IVQR",0.5,0.825510249803918,2.42302722621279,FALSE,"OK"
1,500,0.25,0.1,"Oracle-GMM",-0.5,-0.174489750196082,0.741750413670563,FALSE,"OK"
1,500,0.25,0.1,"Oracle-GMM",-0.25,0.0755102498039183,1.92589513665391,FALSE,"OK"
1,500,0.25,0.1,"Oracle-GMM",0.25,0.575510249803918,0.980613790256663,FALSE,"OK"
1,500,0.25,0.1,"Oracle-GMM",0.5,0.825510249803918,0.811589311189372,FALSE,"OK"
1,500,0.25,0.1,"Full-GMM",-0.5,-0.174489750196082,2.70369741523345,FALSE,"OK"
1,500,0.25,0.1,"Full-GMM",-0.25,0.0755102498039183,0.732725183298597,FALSE,"OK"
1,500,0.25,0.1,"Full-GMM",0.25,0.575510249803918,1.96346084220503,FALSE,"OK"
1,500,0.25,0.1,"Full-GMM",0.5,0.825510249803918,1.85875539850656,FALSE,"OK"
1,500,0.25,0.1,"DML-IVQR",-0.5,-0.174489750196082,0.76927229202079,FALSE,"OK"
1,500,0.25,0.1,"DML-IVQR",-0.25,0.0755102498039183,2.59006997730468,FALSE,"OK"
1,500,0.25,0.1,"DML-IVQR",0.25,0.575510249803918,0.411219210010434,FALSE,"OK"
1,500,0.25,0.1,"DML-IVQR",0.5,0.825510249803918,1.67586745660754,FALSE,"OK"
1,500,0.5,1,"Oracle-GMM",-0.5,0.5,31.4402053580506,TRUE,"OK"
1,500,0.5,1,"Oracle-GMM",-0.25,0.75,13.4543447744527,TRUE,"OK"
1,500,0.5,1,"Oracle-GMM",0.25,1.25,11.2525438656498,TRUE,"OK"
1,500,0.5,1,"Oracle-GMM",0.5,1.5,20.0559631872304,TRUE,"OK"
1,500,0.5,1,"Full-GMM",-0.5,0.5,7.02956247290614,TRUE,"OK"
1,500,0.5,1,"Full-GMM",-0.25,0.75,1.121099324813,FALSE,"OK"
1,500,0.5,1,"Full-GMM",0.25,1.25,3.27582474621252,FALSE,"OK"
1,500,0.5,1,"Full-GMM",0.5,1.5,11.2572760716412,TRUE,"OK"
1,500,0.5,1,"DML-IVQR",-0.5,0.5,18.5425567370592,TRUE,"OK"
1,500,0.5,1,"DML-IVQR",-0.25,0.75,9.6290667706996,TRUE,"OK"
1,500,0.5,1,"DML-IVQR",0.25,1.25,2.59754628029892,FALSE,"OK"
1,500,0.5,1,"DML-IVQR",0.5,1.5,11.4914632014564,TRUE,"OK"
1,500,0.5,0.5,"Oracle-GMM",-0.5,0.5,6.29388179397746,TRUE,"OK"
1,500,0.5,0.5,"Oracle-GMM",-0.25,0.75,3.78459823869769,FALSE,"OK"
1,500,0.5,0.5,"Oracle-GMM",0.25,1.25,1.64946022787122,FALSE,"OK"
1,500,0.5,0.5,"Oracle-GMM",0.5,1.5,6.115691205161,TRUE,"OK"
1,500,0.5,0.5,"Full-GMM",-0.5,0.5,3.300435163107,FALSE,"OK"
1,500,0.5,0.5,"Full-GMM",-0.25,0.75,0.0683825839966609,FALSE,"OK"
1,500,0.5,0.5,"Full-GMM",0.25,1.25,3.90754268108587,FALSE,"OK"
1,500,0.5,0.5,"Full-GMM",0.5,1.5,7.68193990918077,TRUE,"OK"
1,500,0.5,0.5,"DML-IVQR",-0.5,0.5,4.25126310462203,FALSE,"OK"
1,500,0.5,0.5,"DML-IVQR",-0.25,0.75,2.32804636880338,FALSE,"OK"
