"replication","n","kappa","first_stage_F","partial_R2","beta_Z1","beta_Z2","R2_restricted","R2_unrestricted","RSS_restricted","RSS_unrestricted","nested_F","partial_R2_from_model_R2","cov_z1_d_latent","cov_z2_d_latent","status"
1,500,1,108.396007852649,0.308034207361733,0.100204828319347,0.102006432744333,0.0153272612284989,0.318640147826685,66.2898753491638,45.870326139876,108.396007852649,0.308034207361733,1.08837958448095,1.00625660795686,"OK"
1,500,0.5,24.4425988718815,0.0912232656352226,0.0657243424904108,0.042259838058403,0.0162164439926223,0.105960392649847,66.7133467421618,60.6275373908869,24.4425988718815,0.0912232656352225,0.589325049440568,0.5144673437179,"OK"
1,500,0.25,6.97271338790522,0.0278382155628531,0.0393003841987086,0.0180050137071355,0.016479078637433,0.0438585460569,66.8528603588878,64.9917960212237,6.97271338790522,0.027838215562853,0.337334977019777,0.269442737700431,"OK"
1,500,0.1,1.84382099761093,0.0075152534517219,0.0221649246514189,0.00361311123905863,0.0175335099988959,0.0249169946790778,66.7986819007536,66.2966728760285,1.84382099761093,0.00751525345172191,0.185883400206605,0.122518951960706,"OK"
2,500,1,103.951161340143,0.299182080552549,0.104255140842802,0.102158035450829,0.0275436169268197,0.31848514086126,67.0697140522821,47.0036574600558,103.951161340143,0.299182080552549,1.06447011877247,1.00444307287095,"OK"
2,500,0.5,23.8877056602448,0.0893373373366597,0.0640583893823376,0.0478702786555429,0.0133022609143999,0.10145120968041,66.5987308302271,60.6489775478537,23.8877056602448,0.0893373373366598,0.569493672416269,0.441117702747955,"OK"
2,500,0.25,7.34431644650215,0.0292783848984216,0.039698870254335,0.0236806243825818,0.0109401282044016,0.0398982038184166,67.2852176357373,65.3152151358241,7.34431644650215,0.0292783848984215,0.323696533982489,0.184166632825609,"OK"
2,500,0.1,2.33058925726323,0.00948046890464169,0.0249713219048107,0.00899875676170224,0.0100262908396319,0.0194117058057396,67.5420398889831,66.9017096800595,2.33058925726323,0.0094804689046417,0.176395086179175,0.032580062916843,"OK"
3,500,1,94.3327499258475,0.279229145032721,0.0897377329802303,0.105792611933106,0.016473566832738,0.291102811883114,66.970949938275,48.2707088449813,94.3327499258475,0.279229145032721,0.928373235139234,1.05148194749204,"OK"
3,500,0.5,17.6734524750072,0.067669406318004,0.0436377388890423,0.0507711743992443,0.0157988705565606,0.082399176683507,64.331098391649,59.977851155701,17.6734524750072,0.0676694063180039,0.472738268219714,0.475353208894011,"OK"
