"replication","n","kappa","tau","estimator","alpha","W","critical_value","accepted","status"
1,500,0.1,0.1,"Full-GMM",1,0.924262740689869,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.2,0.170839178481114,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.4,0.147496086779187,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.6,1.45738856582158,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.8,2.55240318759737,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2,0.533859439006774,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.2,0.273653429940622,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.4,0.60688573320158,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.6,0.752142334330693,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.8,1.74056450618588,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",3,1.30047030560315,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",3.2,0.0339931353822378,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",3.4,2.62643775831658,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",3.6,0.928403092645004,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",3.8,0.824449419910487,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",4,1.07629092135166,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",4.2,0.0895849016941752,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",4.4,0.160440009319145,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",4.6,0.119663602118116,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",4.8,0.324970691736248,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",5,1.34515487792191,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-3,3.83820619463321,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-2.8,3.59759496512867,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-2.6,3.5637703727473,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-2.4,6.20133861034166,5.99146454710798,FALSE,"OK"
1,500,0.1,0.1,"DML-IVQR",-2.2,4.02635587222428,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-2,5.14393157835275,5.99146454710798,TRUE,"OK"
