"alpha","WN","method"
-1,126.485984776509,"oracle-GMM"
-0.9,120.619604991952,"oracle-GMM"
-0.8,119.722745521918,"oracle-GMM"
-0.7,115.992511251728,"oracle-GMM"
-0.6,116.058833555764,"oracle-GMM"
-0.5,114.135457226354,"oracle-GMM"
-0.4,110.683364970936,"oracle-GMM"
-0.3,100.97146672693,"oracle-GMM"
-0.2,97.1260225343516,"oracle-GMM"
-0.1,90.938071156245,"oracle-GMM"
0,82.4136218561568,"oracle-GMM"
0.1,78.7103403790392,"oracle-GMM"
0.2,65.6948912961133,"oracle-GMM"
0.3,49.825887778185,"oracle-GMM"
0.4,44.6440435473718,"oracle-GMM"
0.5,30.8720263925596,"oracle-GMM"
0.6,28.0390793734906,"oracle-GMM"
0.7,19.7781421344263,"oracle-GMM"
0.8,8.08600557441603,"oracle-GMM"
0.9,1.28115680212596,"oracle-GMM"
1,6.74474960268846,"oracle-GMM"
1.1,29.2334513056958,"oracle-GMM"
1.2,36.6733626013837,"oracle-GMM"
1.3,49.0757479858803,"oracle-GMM"
1.4,66.2037077950157,"oracle-GMM"
1.5,82.7613682944281,"oracle-GMM"
1.6,98.5648537613358,"oracle-GMM"
1.7,107.181301904381,"oracle-GMM"
1.8,109.920952699249,"oracle-GMM"
1.9,131.029751284468,"oracle-GMM"
2,145.045860352497,"oracle-GMM"
2.1,155.724770761805,"oracle-GMM"
2.2,159.436255251071,"oracle-GMM"
2.3,160.673058799084,"oracle-GMM"
2.4,168.602983504848,"oracle-GMM"
2.5,181.958552601621,"oracle-GMM"
2.6,190.151273125032,"oracle-GMM"
2.7,193.836203911993,"oracle-GMM"
2.8,195.327972055219,"oracle-GMM"
2.9,198.881106424006,"oracle-GMM"
3,205.190515844175,"oracle-GMM"
-1,125.158617040271,"full-GMM"
-0.9,108.666004081437,"full-GMM"
-0.8,98.6721531655619,"full-GMM"
-0.7,98.8303852065196,"full-GMM"
-0.6,91.5708336577067,"full-GMM"
-0.5,85.2037596902271,"full-GMM"
-0.4,84.7457821698883,"full-GMM"
-0.3,74.5209154645369,"full-GMM"
-0.2,69.0788271484108,"full-GMM"
-0.1,70.4121378864476,"full-GMM"
0,66.264014289781,"full-GMM"
0.1,51.221712553617,"full-GMM"
0.2,36.120411043859,"full-GMM"
0.3,28.2296670965671,"full-GMM"
0.4,24.7777940118924,"full-GMM"
0.5,14.1266919857384,"full-GMM"
0.6,7.85682436442942,"full-GMM"
0.7,3.03831523337538,"full-GMM"
0.8,1.48325116480418,"full-GMM"
0.9,2.45076187800795,"full-GMM"
1,9.89335702335143,"full-GMM"
1.1,8.69630193253583,"full-GMM"
1.2,25.0859336829774,"full-GMM"
1.3,31.9307144452967,"full-GMM"
1.4,53.4155353946333,"full-GMM"
1.5,59.860650922601,"full-GMM"
1.6,69.5280111577697,"full-GMM"
1.7,74.7235004769424,"full-GMM"
1.8,92.2426349693446,"full-GMM"
1.9,86.5671414620026,"full-GMM"
2,97.4426420352233,"full-GMM"
2.1,106.497378673258,"full-GMM"
2.2,118.185643821165,"full-GMM"
2.3,127.615837264457,"full-GMM"
2.4,125.282302214217,"full-GMM"
2.5,121.493051561809,"full-GMM"
2.6,135.66823342172,"full-GMM"
2.7,143.371077249477,"full-GMM"
2.8,150.308065162613,"full-GMM"
2.9,156.078157835619,"full-GMM"
3,155.083902282539,"full-GMM"
-1,125.694912096581,"DML-IVQR"
-0.9,126.055641030947,"DML-IVQR"
-0.8,123.563205292878,"DML-IVQR"
-0.7,125.311839712622,"DML-IVQR"
-0.6,117.728382051574,"DML-IVQR"
-0.5,117.184210369367,"DML-IVQR"
-0.4,102.938991321229,"DML-IVQR"
-0.3,100.801745860808,"DML-IVQR"
-0.2,97.0634258967163,"DML-IVQR"
-0.1,79.673215371506,"DML-IVQR"
0,88.0685085148557,"DML-IVQR"
0.1,71.8224681357318,"DML-IVQR"
0.2,67.0850540624407,"DML-IVQR"
0.3,51.5086235442927,"DML-IVQR"
0.4,40.8409436389949,"DML-IVQR"
0.5,33.8966685292792,"DML-IVQR"
0.6,26.9287958735957,"DML-IVQR"
0.7,15.2959822703621,"DML-IVQR"
0.8,7.38919781088723,"DML-IVQR"
0.9,3.53872411128024,"DML-IVQR"
1,6.09351664624985,"DML-IVQR"
1.1,19.4731816522194,"DML-IVQR"
1.2,26.0050882543645,"DML-IVQR"
1.3,47.173390375097,"DML-IVQR"
1.4,63.6350267037751,"DML-IVQR"
1.5,69.9913066374696,"DML-IVQR"
1.6,77.3631865180588,"DML-IVQR"
1.7,85.409965134468,"DML-IVQR"
1.8,102.026540014449,"DML-IVQR"
1.9,119.40537063969,"DML-IVQR"
2,127.256031655244,"DML-IVQR"
2.1,144.814745442632,"DML-IVQR"
2.2,143.979002716937,"DML-IVQR"
2.3,146.39128542605,"DML-IVQR"
2.4,150.849038537226,"DML-IVQR"
2.5,156.568799886884,"DML-IVQR"
2.6,162.365764329171,"DML-IVQR"
2.7,162.783136658876,"DML-IVQR"
2.8,171.737423290452,"DML-IVQR"
2.9,173.420235496403,"DML-IVQR"
3,180.243717009024,"DML-IVQR"
