"Model","n=500 RMSE","n=500 MAE","n=500 BIAS","n=1000 RMSE","n=1000 MAE","n=1000 BIAS"
"alpha0.25 (Belloni and Chernozhukov)","0.1490","0.1182","0.0151","0.0902","0.0725","0.0385"
"alpha0.25 (5-fold Cross-Validation)","0.1651","0.1299","-0.0851","0.0961","0.0792","-0.0541"
"alpha0.50 (Belloni and Chernozhukov)","0.1393","0.1100","0.0688","0.0921","0.0668","0.0560"
"alpha0.50 (5-fold Cross-Validation)","0.1182","0.0876","-0.0224","0.0727","0.0476","-0.0164"
"alpha0.75 (Belloni and Chernozhukov)","0.1847","0.1502","0.1345","0.1264","0.1081","0.0995"
"alpha0.75 (5-fold Cross-Validation)","0.1515","0.1180","0.0511","0.0871","0.0703","0.0271"
