"alpha","WN","method"
-1,89.9338194260418,"oracle-GMM"
-0.9,91.8234111894193,"oracle-GMM"
-0.8,87.8009342483852,"oracle-GMM"
-0.7,83.6334953332114,"oracle-GMM"
-0.6,79.7952904940558,"oracle-GMM"
-0.5,81.0770563178166,"oracle-GMM"
-0.4,68.5334979205594,"oracle-GMM"
-0.3,61.8839131204133,"oracle-GMM"
-0.2,52.0761785388387,"oracle-GMM"
-0.1,44.0631758925356,"oracle-GMM"
0,24.7768293687403,"oracle-GMM"
0.1,15.9259184578458,"oracle-GMM"
0.2,13.9731989936538,"oracle-GMM"
0.3,10.2567140520562,"oracle-GMM"
0.4,11.6955151144273,"oracle-GMM"
0.5,14.2116842865885,"oracle-GMM"
0.6,21.302264324729,"oracle-GMM"
0.7,31.9038823136539,"oracle-GMM"
0.8,37.2130105673116,"oracle-GMM"
0.9,45.0135101944304,"oracle-GMM"
1,49.3838301705258,"oracle-GMM"
1.1,53.2227370581465,"oracle-GMM"
1.2,60.0562645144419,"oracle-GMM"
1.3,64.2510457179299,"oracle-GMM"
1.4,65.8748794827421,"oracle-GMM"
1.5,71.6194749302119,"oracle-GMM"
1.6,75.486951230807,"oracle-GMM"
1.7,77.2616299631127,"oracle-GMM"
1.8,76.8854903969031,"oracle-GMM"
1.9,84.3949619249751,"oracle-GMM"
2,82.3126649114093,"oracle-GMM"
2.1,90.5284398244155,"oracle-GMM"
2.2,93.7523114258083,"oracle-GMM"
2.3,92.0991843326511,"oracle-GMM"
2.4,96.488035782195,"oracle-GMM"
2.5,95.1099612775918,"oracle-GMM"
2.6,103.965140734024,"oracle-GMM"
2.7,104.484022214597,"oracle-GMM"
2.8,103.284552631502,"oracle-GMM"
2.9,105.397652642329,"oracle-GMM"
3,103.194007032404,"oracle-GMM"
-1,83.7475722766203,"full-GMM"
-0.9,68.8193412126142,"full-GMM"
-0.8,68.2567757868334,"full-GMM"
-0.7,80.3326397539755,"full-GMM"
-0.6,50.559130729294,"full-GMM"
-0.5,35.7217232608267,"full-GMM"
-0.4,48.9913091969432,"full-GMM"
-0.3,40.9049360515925,"full-GMM"
-0.2,14.2427766615884,"full-GMM"
-0.1,17.4459385329973,"full-GMM"
0,4.84232347159437,"full-GMM"
0.1,6.80422255548725,"full-GMM"
0.2,2.40337592031539,"full-GMM"
0.3,2.46858337039801,"full-GMM"
0.4,2.94490683001977,"full-GMM"
0.5,5.7754832015428,"full-GMM"
0.6,12.956187948551,"full-GMM"
0.7,13.6453280887306,"full-GMM"
0.8,23.3145494870299,"full-GMM"
0.9,33.5016681113189,"full-GMM"
1,30.7536504816236,"full-GMM"
1.1,43.5171098508047,"full-GMM"
1.2,44.1525599478437,"full-GMM"
1.3,46.9293835544161,"full-GMM"
1.4,56.5562985920821,"full-GMM"
1.5,69.8504802860007,"full-GMM"
1.6,73.5456700049188,"full-GMM"
1.7,78.4345589936153,"full-GMM"
1.8,80.2106436480137,"full-GMM"
1.9,81.258852380125,"full-GMM"
2,86.7882713892625,"full-GMM"
2.1,99.0184929245802,"full-GMM"
2.2,79.4244737128978,"full-GMM"
2.3,98.4830848993581,"full-GMM"
2.4,86.0757565159274,"full-GMM"
2.5,88.740350768305,"full-GMM"
2.6,99.830197021498,"full-GMM"
2.7,79.5188791990486,"full-GMM"
2.8,101.081424793939,"full-GMM"
2.9,109.321175966067,"full-GMM"
3,100.248726556439,"full-GMM"
-1,91.0442799190777,"DML-IVQR"
-0.9,89.2454969351546,"DML-IVQR"
-0.8,84.4957750718762,"DML-IVQR"
-0.7,76.8009927737722,"DML-IVQR"
-0.6,75.1541584778946,"DML-IVQR"
-0.5,72.5739633785882,"DML-IVQR"
-0.4,63.7127274294052,"DML-IVQR"
-0.3,54.7680860934105,"DML-IVQR"
-0.2,35.9394433920496,"DML-IVQR"
-0.1,21.228908328754,"DML-IVQR"
0,12.6872080737941,"DML-IVQR"
0.1,15.8604736490621,"DML-IVQR"
0.2,14.6660641174193,"DML-IVQR"
0.3,13.3293281969048,"DML-IVQR"
0.4,10.7437392547715,"DML-IVQR"
0.5,16.2695253450245,"DML-IVQR"
0.6,19.4788221564201,"DML-IVQR"
0.7,21.5359653477799,"DML-IVQR"
0.8,32.7468745955822,"DML-IVQR"
0.9,38.3249042107723,"DML-IVQR"
1,42.6155945968159,"DML-IVQR"
1.1,49.1505418563379,"DML-IVQR"
1.2,51.6529442082989,"DML-IVQR"
1.3,56.4771565015353,"DML-IVQR"
1.4,61.0184472846775,"DML-IVQR"
1.5,65.2787386457741,"DML-IVQR"
1.6,68.2307871329524,"DML-IVQR"
1.7,71.1282999687853,"DML-IVQR"
1.8,74.8211599202945,"DML-IVQR"
1.9,80.6380764779318,"DML-IVQR"
2,80.7979108677271,"DML-IVQR"
2.1,80.9767279678558,"DML-IVQR"
2.2,87.659309058707,"DML-IVQR"
2.3,87.8706061604274,"DML-IVQR"
2.4,93.7243088764677,"DML-IVQR"
2.5,94.4865919859069,"DML-IVQR"
2.6,93.5872515850298,"DML-IVQR"
2.7,90.9457295952091,"DML-IVQR"
2.8,94.0632921591041,"DML-IVQR"
2.9,94.1817531212339,"DML-IVQR"
3,98.2219098572376,"DML-IVQR"
