"Model","n=500 RMSE","n=500 MAE","n=500 BIAS","n=1000 RMSE","n=1000 MAE","n=1000 BIAS"
"alpha0.25 (Belloni and Chernozhukov)","0.1716","0.1325","-0.0716","0.0849","0.0683","0.0056"
"alpha0.25 (5-fold Cross-Validation)","0.1720","0.1368","-0.0986","0.0995","0.0811","-0.0589"
"alpha0.50 (Belloni and Chernozhukov)","0.1273","0.0962","0.0270","0.0800","0.0556","0.0384"
"alpha0.50 (5-fold Cross-Validation)","0.1374","0.1032","-0.0384","0.0779","0.0536","-0.0236"
"alpha0.75 (Belloni and Chernozhukov)","0.1572","0.1272","0.0876","0.1142","0.0961","0.0839"
"alpha0.75 (5-fold Cross-Validation)","0.1526","0.1179","0.0286","0.0838","0.0677","0.0205"
